epoch,lr,time,loss
0,3.125e-05,11:32:54,3.3027642602505893
1,6.25e-05,11:33:22,3.265329257301662
2,0.000125,11:33:31,3.1725569393323814
3,0.00025,11:33:37,2.7573630809783936
4,0.0005,11:33:44,1.9688046859658284
5,0.001,11:33:53,1.748324990272522
6,0.001,11:34:01,1.5635577906732974
7,0.001,11:34:11,1.3303456876588904
8,0.001,11:34:19,1.104933210041212
9,0.001,11:34:26,0.9184477717980094
10,0.001,11:34:33,0.7957301709962927
11,0.001,11:34:41,0.7137290109758792
12,0.001,11:34:49,0.6596925154976223
13,0.001,11:34:57,0.6238364369972892
14,0.001,11:35:05,0.5930012438608252
15,0.001,11:35:16,0.5642718361771625
16,0.001,11:35:26,0.5376123189926147
17,0.001,11:35:33,0.5147193190844163
18,0.001,11:35:40,0.492807634498762
19,0.001,11:35:47,0.475692859162455
20,0.001,11:35:57,0.4610142681909644
21,0.001,11:36:04,0.4499137414538342
22,0.001,11:36:12,0.4423092448193094
23,0.001,11:36:19,0.4297992276108783
24,0.001,11:36:26,0.4218320069105729
25,0.001,11:36:34,0.4151065777177396
26,0.001,11:36:41,0.4070571971976239
27,0.001,11:36:48,0.3989488016004148
28,0.001,11:36:55,0.392990169317826
29,0.001,11:37:02,0.3875409273997597
30,0.001,11:37:09,0.381881445646286
31,0.001,11:37:19,0.37688189097072766
32,0.001,11:37:27,0.37484790708707727
33,0.001,11:37:35,0.3738707938919897
34,0.001,11:37:41,0.3659103668254355
35,0.001,11:37:47,0.3604220255561497
36,0.001,11:37:54,0.358000996320144
37,0.001,11:38:04,0.356499169183814
38,0.001,11:38:12,0.3503618706827578
39,0.001,11:38:18,0.3481621301692465
40,0.001,11:38:25,0.34790087394092395
41,0.001,11:38:31,0.3422539778377699
42,0.001,11:38:38,0.33927456192348315
43,0.001,11:38:46,0.33639270585516223
44,0.001,11:38:52,0.3344461140425309
45,0.001,11:38:58,0.33430530454801477
46,0.001,11:39:06,0.32986508504204126
47,0.001,11:39:15,0.32751803812773334
48,0.001,11:39:22,0.32295852122099505
49,0.001,11:39:28,0.3210647235745969
50,0.001,11:39:36,0.3189473242863365
51,0.001,11:39:42,0.3164900243282318
52,0.001,11:39:49,0.3142391922681228
53,0.001,11:39:56,0.3113241765810096
54,0.001,11:40:04,0.30909127774445905
55,0.001,11:40:11,0.3070597700450731
56,0.001,11:40:18,0.3053123367869336
57,0.001,11:40:25,0.302767100541488
58,0.001,11:40:32,0.30138428055721783
59,0.001,11:40:37,0.29809506561445154
60,0.001,11:40:44,0.296574082063592
61,0.001,11:40:51,0.29481964785119763
62,0.001,11:40:58,0.29244882451451343
63,0.001,11:41:05,0.2915738406388656
64,0.001,11:41:12,0.2886332843614661
65,0.001,11:41:21,0.28802718027778296
66,0.001,11:41:28,0.28564311887906946
67,0.001,11:41:37,0.2837724620881288
68,0.001,11:41:44,0.28303486886231793
69,0.001,11:41:52,0.28286221364270087
70,0.001,11:41:59,0.27994305284126947
71,0.001,11:42:06,0.2792829884135205
72,0.001,11:42:14,0.27667767975641333
73,0.001,11:42:21,0.2753800101902174
74,0.001,11:42:29,0.2736326773529467
75,0.001,11:42:36,0.2739246189594269
76,0.001,11:42:43,0.27172493286754773
77,0.001,11:42:50,0.2722104204737622
78,0.001,11:42:57,0.27083694610906683
79,0.001,11:43:03,0.26812394999939465
80,0.001,11:43:10,0.26700159648190375
81,0.001,11:43:16,0.26671536979467975
82,0.001,11:43:22,0.2654113652913467
83,0.001,11:43:30,0.2634677537109541
84,0.001,11:43:35,0.2616326374852139
85,0.001,11:43:44,0.2605665928643683
86,0.001,11:43:49,0.2598806768655777
87,0.001,11:43:54,0.2584789356459742
88,0.001,11:44:01,0.25778751787932025
89,0.001,11:44:09,0.25661196203335473
90,0.001,11:44:17,0.2560846313186314
91,0.001,11:44:24,0.264897003121998
92,0.001,11:44:31,0.2594247512195421
93,0.001,11:44:38,0.2540802320708399
94,0.001,11:44:45,0.25172612718913867
95,0.001,11:44:52,0.2511006541874098
96,0.001,11:44:58,0.2506133402171342
97,0.001,11:45:05,0.24991754669210184
98,0.001,11:45:12,0.25021556732447253
99,0.001,11:45:19,0.2482373844022336
100,0.001,11:45:26,0.24694802514884784
101,0.001,11:45:34,0.2470884672973467
102,0.001,11:45:41,0.24538644306037738
103,0.001,11:45:49,0.24446565236734308
104,0.001,11:45:56,0.2449398319358411
105,0.001,11:46:01,0.2428299842969231
106,0.001,11:46:08,0.24245556541111157
107,0.001,11:46:16,0.24195427868677222
108,0.001,11:46:24,0.24214677642221036
109,0.001,11:46:31,0.2406530956859174
110,0.001,11:46:37,0.24058599251767862
111,0.001,11:46:43,0.23963146041268887
112,0.001,11:46:50,0.23955417845560156
113,0.001,11:46:56,0.24018024426439535
114,0.001,11:47:02,0.2376313837973968
115,0.001,11:47:09,0.23867415474808734
116,0.001,11:47:15,0.2370218090389086
117,0.001,11:47:23,0.23589247335558353
118,0.001,11:47:30,0.2354366721018501
119,0.001,11:47:39,0.23401669833971106
120,0.001,11:47:48,0.23396883321845013
121,0.001,11:47:54,0.23442509381667428
122,0.001,11:48:02,0.23351045212020044
123,0.001,11:48:08,0.23346531455931457
124,0.001,11:48:14,0.23419542157131693
125,0.001,11:48:24,0.23422284813030905
126,0.001,11:48:31,0.233422898080038
127,0.001,11:48:36,0.23127653482167618
128,0.001,11:48:43,0.2315629552239957
129,0.001,11:48:50,0.2302379601675531
130,0.001,11:48:56,0.23060665247233017
131,0.001,11:49:02,0.2304378488789434
132,0.001,11:49:09,0.22946012667987659
133,0.001,11:49:16,0.2295302645019863
134,0.001,11:49:22,0.22988939674004263
135,0.001,11:49:28,0.22965039636777795
136,0.001,11:49:34,0.22964812944764676
137,0.001,11:49:43,0.2276462530312331
138,0.001,11:49:51,0.2280458743157594
139,0.001,11:49:59,0.22708690490411676
140,0.001,11:50:05,0.22775193789730902
141,0.001,11:50:11,0.22634495470834815
142,0.001,11:50:17,0.22775393335715585
143,0.001,11:50:26,0.22546907028426294
144,0.001,11:50:33,0.2257059086924014
145,0.001,11:50:40,0.2257313300733981
146,0.001,11:50:47,0.2241880336533422
147,0.001,11:50:53,0.22451638592326123
148,0.001,11:51:00,0.22318984827269678
149,0.001,11:51:07,0.22358782719010892
150,0.001,11:51:14,0.222671275553496
151,0.001,11:51:19,0.2246212564084841
152,0.001,11:51:26,0.2235931721718415
153,0.001,11:51:33,0.2228241310171459
154,0.001,11:51:39,0.22304672974607218
155,0.001,11:51:46,0.2217101681491603
156,0.001,11:51:54,0.22149659952391748
157,0.001,11:52:00,0.22089798942856168
158,0.001,11:52:07,0.22140171281669452
159,0.001,11:52:14,0.22087064774140067
160,0.001,11:52:21,0.22044000223926877
161,0.001,11:52:29,0.22153281906376715
162,0.001,11:52:36,0.22069147812283557
163,0.001,11:52:42,0.22101565029310144
164,0.001,11:52:48,0.2192245592241702
165,0.001,11:52:55,0.21836688984995303
166,0.001,11:53:01,0.2197468902753747
167,0.001,11:53:08,0.21977987172810928
168,0.001,11:53:15,0.21861710366995438
169,0.001,11:53:21,0.2177560083244158
170,0.001,11:53:27,0.2168465476969014
171,0.001,11:53:39,0.21696950495243073
172,0.001,11:53:47,0.2180192399284114
173,0.001,11:53:58,0.21664288769597592
174,0.001,11:54:05,0.21672865554042484
175,0.001,11:54:11,0.21700091336084448
176,0.001,11:54:18,0.21668364561122397
177,0.001,11:54:25,0.21546373419139697
178,0.001,11:54:31,0.21583055931588876
